name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Athens,2021-01-01,17.4,7.3,11.4,17.4,7.3,11.3,5.5,68.6,1.216,100,4.17,rain,0,0,23.4,9.7,281,1016.4,20.4,10,79.4,6.9,5,,2021-01-01T07:41:12,2021-01-01T17:16:23,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"LGEL,16716199999,E4115,F6908,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
Athens,2021-01-02,16.4,5.2,11.1,16.4,4.9,11,7.3,78.3,0.778,100,4.17,rain,0,0,37.8,9.7,16.4,1019.5,57.7,9.8,51.2,4.3,2,,2021-01-02T07:41:19,2021-01-02T17:17:12,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
Athens,2021-01-03,18.4,12.2,14.7,18.4,12.2,14.7,11.4,81.5,4.575,100,4.17,rain,0,0,47.2,21.6,172.6,1019,50.7,9.9,69.4,5.9,4,,2021-01-03T07:41:25,2021-01-03T17:18:02,0.65,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999,F4407"
Athens,2021-01-04,17.5,11.9,14.8,17.5,11.9,14.8,11.6,81.6,3.815,100,8.33,rain,0,0,74.2,36.5,158.2,1011.9,67.8,9.5,35.2,3.1,3,,2021-01-04T07:41:28,2021-01-04T17:18:53,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"LGEL,16716199999,E4115,LGAV,16741099999,F5422,16718099999,16716099999,16699099999,16715099999"
Athens,2021-01-05,16,9.7,12.2,16,8.3,12.1,5.5,64.3,0,0,0,,0,0,35.6,18.3,251.2,1015.8,27.4,10,90.5,7.8,5,,2021-01-05T07:41:30,2021-01-05T17:19:46,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
Athens,2021-01-06,16.8,6.9,11.5,16.8,6.9,11.5,6.9,74.5,0,0,0,,0,0,27,17.1,199.4,1020.5,32.4,10,79.2,7,5,,2021-01-06T07:41:29,2021-01-06T17:20:40,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,E4115,F6908,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
Athens,2021-01-07,16.9,8.5,12.5,16.9,8.5,12.5,9.2,80.8,0,0,0,,0,0,24.5,12.2,243.5,1018.3,34.5,10,40.1,3.4,2,,2021-01-07T07:41:27,2021-01-07T17:21:35,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
Athens,2021-01-08,18.7,11.3,15.1,18.7,11.3,15.1,11.9,81.5,0,0,0,,0,0,41.4,22.6,212.9,1014.7,43.5,10,83,7.2,5,,2021-01-08T07:41:22,2021-01-08T17:22:32,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
Athens,2021-01-09,21.5,14.5,17.3,21.5,14.5,17.3,14.1,82,0.577,100,4.17,rain,0,0,45,22,204.8,1012.4,42.3,10,89.8,7.6,5,,2021-01-09T07:41:15,2021-01-09T17:23:29,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
Athens,2021-01-10,21.2,11.8,16.4,21.2,11.8,16.4,13.4,83,0,0,0,,0,0,34.9,16.4,186.5,1015.4,32,10,89.9,7.7,5,,2021-01-10T07:41:06,2021-01-10T17:24:27,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
Athens,2021-01-11,22.5,15.1,18.3,22.5,15.1,18.3,12.6,70.3,0,0,0,,0,0,44.3,28.2,199.5,1013.2,33.7,10,98,8.4,5,,2021-01-11T07:40:55,2021-01-11T17:25:26,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
Athens,2021-01-12,19.5,13.2,17.1,19.5,13.2,17.1,11.2,68.9,5.899,100,8.33,rain,0,0,61.2,33.8,211.7,1007.4,45.8,9.4,25.9,2.4,1,,2021-01-12T07:40:42,2021-01-12T17:26:26,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
Athens,2021-01-13,15.4,8,11.9,15.4,7.3,11.8,3.5,57.3,0,0,0,,0,0,41.9,18.7,305.8,1007,38.3,10,100.5,8.7,5,,2021-01-13T07:40:27,2021-01-13T17:27:27,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
Athens,2021-01-14,12.7,7.1,9.8,12.7,4.8,8.9,1.4,58,0.097,100,4.17,rain,0,0,46.3,24.6,312.2,1009.1,47.4,10,104.6,8.9,5,,2021-01-14T07:40:10,2021-01-14T17:28:29,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
Athens,2021-01-15,11,6,7.8,11,1.6,5.1,1.3,63.7,0.213,100,4.17,rain,0,0,44.5,31.2,359.6,1011.6,86.1,10,37.4,3.4,2,,2021-01-15T07:39:50,2021-01-15T17:29:32,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"LGEL,16716199999,E4115,E0407,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
Athens,2021-01-16,7.3,4,5.2,6,0.3,2,1.8,79.4,10.447,100,8.33,rain,0,0.6,44.6,22.3,338.2,1008.8,91.6,9.2,20.7,1.8,1,,2021-01-16T07:39:29,2021-01-16T17:30:35,0.1,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"LGEL,16716199999,E4115,F6908,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
Athens,2021-01-17,4.6,0.3,2.5,1.1,-4.5,-0.8,-6.7,51.6,3.431,100,4.17,"rain,snow",0,0.2,48.2,25.3,328.5,1014.2,38.9,9.9,106.6,9,5,,2021-01-17T07:39:06,2021-01-17T17:31:38,0.13,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
Athens,2021-01-18,5,-1.6,3.1,1.9,-1.6,0.3,-2.1,68.9,0.135,100,4.17,rain,0,0,43.9,22.3,351,1018.5,73.2,9.9,50.2,4.2,2,,2021-01-18T07:38:41,2021-01-18T17:32:43,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"LGEL,16716199999,F6908,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
Athens,2021-01-19,9,0.6,4.4,6.9,-1.5,2.8,-3.3,59.1,0,0,0,,0,0,37.1,18.9,322.1,1023.3,38.8,10,114.4,9.9,5,,2021-01-19T07:38:13,2021-01-19T17:33:48,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
Athens,2021-01-20,12.5,-0.4,5.8,12.5,-2.9,4.9,-1.8,59.1,0,0,0,,0,0,27.7,16,260.4,1027,14.4,10,112.5,9.6,5,,2021-01-20T07:37:44,2021-01-20T17:34:53,0.25,Clear,Clear conditions throughout the day.,clear-day,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
Athens,2021-01-21,15.4,3.5,9.3,15.4,3.5,9.2,4.1,71.4,0,0,0,,0,0,27.4,15.3,210.6,1026.8,27.1,10,111.4,9.5,5,,2021-01-21T07:37:13,2021-01-21T17:35:59,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
Athens,2021-01-22,15.5,5.9,11.3,15.5,5.9,11.2,7.6,78.5,0,0,0,,0,0,38.9,20.1,213.6,1023.4,45.3,10,74.3,6.4,4,,2021-01-22T07:36:40,2021-01-22T17:37:05,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
Athens,2021-01-23,15,9.7,12.8,15,8.4,12.6,7.2,69.7,0,0,0,,0,0,61.9,27.2,195.5,1016.4,67.7,10,40,3.4,2,,2021-01-23T07:36:05,2021-01-23T17:38:11,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
Athens,2021-01-24,15.5,7,12.5,15.5,7,12.3,7.3,72.2,5.967,100,8.33,rain,0,0,63.4,22.6,207.7,1011.1,52.8,9.9,89,7.7,6,,2021-01-24T07:35:28,2021-01-24T17:39:18,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
Athens,2021-01-25,17.9,11.9,14.8,17.9,11.9,14.8,7.4,61.8,0.113,100,8.33,rain,0,0,61.9,32.1,213.4,1008.1,42.3,10,121.8,10.4,6,,2021-01-25T07:34:49,2021-01-25T17:40:25,0.39,"Rain, Partially cloudy",Clearing in the afternoon with rain.,rain,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
Athens,2021-01-26,16.7,9.1,12.9,16.7,8.6,12.8,8,72.5,0.088,100,4.17,rain,0,0,70.6,32.2,194.8,1005.6,66.4,9.8,43.2,3.8,2,,2021-01-26T07:34:09,2021-01-26T17:41:32,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
Athens,2021-01-27,10.6,4.1,7.1,10.6,2.4,5,-1.1,57.2,5.052,100,8.33,rain,0,0,55.1,23.8,311.2,1005.4,58.1,10,86.8,7.5,5,,2021-01-27T07:33:27,2021-01-27T17:42:40,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
Athens,2021-01-28,9,-0.1,4.7,6.3,-0.1,3.4,-7.2,43.7,0,0,0,,0,0,39.6,21.5,328.7,1013.6,30.1,10,123.5,10.6,6,,2021-01-28T07:32:42,2021-01-28T17:43:48,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
Athens,2021-01-29,14.8,-1.2,8.3,14.8,-2.8,8,1.4,62.7,0,0,0,,0,0,32.4,16.4,224.4,1012.6,33.3,10,126.5,11,6,,2021-01-29T07:31:57,2021-01-29T17:44:55,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
Athens,2021-01-30,18.8,9.3,13.7,18.8,9.3,13.7,6.9,65.4,0.387,100,4.17,rain,0,0,76,30.5,284.7,1003.2,35.9,10,111.9,9.7,6,,2021-01-30T07:31:09,2021-01-30T17:46:03,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
Athens,2021-01-31,17.5,5.2,12.3,17.5,5.2,12.2,7.8,75.1,0,0,0,,0,0,55.4,25.1,163.6,1007.6,46.8,10,115.4,9.8,5,,2021-01-31T07:30:20,2021-01-31T17:47:11,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
Athens,2021-02-01,16.5,11.4,14.8,16.5,11.4,14.8,11.4,80.1,2.171,100,4.17,rain,0,0,55.4,29.2,203.4,1005.6,55.8,9.7,29.3,2.6,1,,2021-02-01T07:29:29,2021-02-01T17:48:19,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
Athens,2021-02-02,18.3,8.6,12.8,18.3,8.6,12.8,8.6,77.1,0,0,0,,0,0,25.2,13.2,188.5,1011.6,33.2,10,124.5,10.8,5,,2021-02-02T07:28:36,2021-02-02T17:49:26,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
Athens,2021-02-03,18.2,7.6,12.3,18.2,7.6,12.2,8.1,76.9,0,0,0,,0,0,15.8,9.6,134.7,1016.6,32.6,10,128.5,11.1,6,,2021-02-03T07:27:42,2021-02-03T17:50:34,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
Athens,2021-02-04,19.5,7.2,12.9,19.5,7.1,12.9,8.2,75.3,0,0,0,,0,0,24.5,10.4,104.8,1016.9,21,10,134.7,11.6,6,,2021-02-04T07:26:46,2021-02-04T17:51:42,0.75,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
Athens,2021-02-05,19.7,7.2,12.9,19.7,7.2,12.9,8.6,76.8,0,0,0,,0,0,22.3,6.3,342.7,1019.5,32.3,10,123.4,10.8,6,,2021-02-05T07:25:49,2021-02-05T17:52:49,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
Athens,2021-02-06,20.3,6.5,13,20.3,6.5,13,8.4,75.6,0,0,0,,0,0,25.6,13.4,212.1,1017.5,19.4,9.8,132.7,11.3,6,,2021-02-06T07:24:50,2021-02-06T17:53:57,0.81,Clear,Clear conditions throughout the day.,clear-day,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
Athens,2021-02-07,19.5,7.9,13.8,19.5,7.9,13.8,7.9,69,0,0,0,,0,0,29.5,13.2,210.2,1014.7,61.8,10,117.3,10.1,6,,2021-02-07T07:23:50,2021-02-07T17:55:04,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
Athens,2021-02-08,19.1,14.1,16.5,19.1,14.1,16.5,9.3,62.8,0,0,0,,0,0,69.8,34.3,183.3,1008.1,39.4,10,73.5,6.4,4,,2021-02-08T07:22:49,2021-02-08T17:56:11,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
Athens,2021-02-09,19.5,11.3,15.3,19.5,11.3,15.3,8.7,65.4,0,0,0,,0,0,52.9,25.6,198.9,1012.9,36.8,10,146.5,12.7,6,,2021-02-09T07:21:45,2021-02-09T17:57:18,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
Athens,2021-02-10,18.4,10.8,14.1,18.4,10.8,14.1,7.9,67.7,0.395,100,8.33,rain,0,0,37.1,18.1,225.7,1015,28.3,10,133.1,11.4,6,,2021-02-10T07:20:41,2021-02-10T17:58:24,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
Athens,2021-02-11,19,9.5,13.9,19,8.9,13.9,9,73.7,1.6,100,12.5,rain,0,0,79.9,36,238.5,1010.3,35.5,10,102.7,8.9,6,,2021-02-11T07:19:35,2021-02-11T17:59:31,0,"Rain, Partially cloudy",Becoming cloudy in the afternoon with afternoon rain.,rain,"LGEL,16716199999,F6908,E4115,LGAV,16741099999,16718099999,16699099999,16715099999"
Athens,2021-02-12,17.9,8.3,13,17.9,8.3,13,5.3,60.7,0,0,0,,0,0,43.2,21,340.6,1017,36.3,10,154,13.3,6,,2021-02-12T07:18:28,2021-02-12T18:00:37,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,E4115,LGAV"
Athens,2021-02-13,10.4,8,9.5,10.4,5.1,8.1,5.2,75,0.947,100,8.33,rain,0,0,30.7,18.8,3.9,1019.9,88,9.7,41.8,3.5,2,,2021-02-13T07:17:20,2021-02-13T18:01:43,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"LGEL,E4115,16716199999,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
Athens,2021-02-14,8.1,2.6,5.3,5.6,-2.1,1.2,2.1,80,3.918,100,12.5,rain,0,0,53.6,30.1,347.5,1016.7,95.8,9,35.8,3.1,2,,2021-02-14T07:16:10,2021-02-14T18:02:49,0.08,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
Athens,2021-02-15,3,0.5,1.7,-2,-4.9,-3.4,-0.8,83.7,2.312,100,12.5,"rain,snow",0.7,0.2,77.8,35.9,342.4,1022.4,87.1,6.8,100.8,8.8,4,,2021-02-15T07:14:59,2021-02-15T18:03:54,0.12,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
Athens,2021-02-16,2.4,-0.5,0.7,0,-5.4,-2.9,-1.6,85,14.05,100,16.67,"rain,snow",0.8,0.3,67,22.6,335.9,1023.2,93.3,5,6.5,0.4,1,,2021-02-16T07:13:48,2021-02-16T18:04:59,0.15,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"LGEL,16716199999,E4115,F6908,LGAV,16741099999,F5422,16718099999,16716099999,16699099999,16715099999,F4407"
Athens,2021-02-17,7.4,0.9,3.4,6,-3.7,1,-2.5,66.6,1.281,100,8.33,"rain,snow",0,0.1,33.1,17.6,351.2,1022.6,53.6,9.7,126.6,10.9,7,,2021-02-17T07:12:34,2021-02-17T18:06:04,0.18,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,rain,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999,F4407"
Athens,2021-02-18,13,-0.6,6,13,-0.6,5.8,-0.9,64.6,0,0,0,,0,0,33.1,14.1,336.7,1020.8,48.1,10,133.3,11.7,6,,2021-02-18T07:11:20,2021-02-18T18:07:08,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,E0407,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
Athens,2021-02-19,15,1.6,8.3,15,0.3,7.9,0.2,59.9,0,0,0,,0,0,18.4,14.1,358,1026.2,23.2,10,180.7,15.6,7,,2021-02-19T07:10:05,2021-02-19T18:08:12,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,F6908,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
Athens,2021-02-20,15,1.8,8.7,15,1.8,8.5,3.6,72.3,0,0,0,,0,0,20.2,13.8,17.3,1026,30,10,136.8,11.7,5,,2021-02-20T07:08:49,2021-02-20T18:09:16,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,F6908,E4115,LGAV,remote"
Athens,2021-02-21,12,7.1,9.6,12,4.9,8.3,3.8,67.5,1,100,16.67,rain,0,0,70.6,31,358,1027.7,57.8,10,162.9,14.1,8,,2021-02-21T07:07:31,2021-02-21T18:10:20,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"LGEL,E4115,16716199999,LGAV,16741099999,F5422,16718099999,16716099999,16715099999"
Athens,2021-02-22,15.3,5.8,10.2,15.3,4.6,9.5,3.6,64.4,0,0,0,,0,0,31.3,23.8,355.8,1029.8,26.4,10,188.7,16.3,7,,2021-02-22T07:06:13,2021-02-22T18:11:23,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,F6908,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
Athens,2021-02-23,18.4,3.6,11.1,18.4,3.5,11,3.4,61.8,0,0,0,,0,0,25.9,23.2,357.9,1029.5,11.7,10,184.4,15.8,7,,2021-02-23T07:04:54,2021-02-23T18:12:26,0.37,Clear,Clear conditions throughout the day.,clear-day,"LGEL,16716199999,F6908,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999,F4407"
Athens,2021-02-24,20,7.5,13.2,20,6.4,13.1,3.1,52.2,0,0,0,,0,0,55.4,27.7,8.1,1029.9,3.1,10,188.4,16.1,7,,2021-02-24T07:03:34,2021-02-24T18:13:28,0.41,Clear,Clear conditions throughout the day.,clear-day,"LGEL,16716199999,F6908,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
Athens,2021-02-25,16.5,11.1,13.3,16.5,11.1,13.3,5.2,58.3,0,0,0,,0,0,64.8,42.6,0.4,1029.9,32.7,10,164.5,14.3,7,,2021-02-25T07:02:13,2021-02-25T18:14:30,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,F6908,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999,F4407"
Athens,2021-02-26,17.9,10.4,14,17.9,10.4,14,6.1,59.2,0,0,0,,0,0,48.2,25.9,0.8,1026,27.2,10,188.8,16.3,7,,2021-02-26T07:00:51,2021-02-26T18:15:32,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,F6908,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
Athens,2021-02-27,19,4.2,11.9,19,4.2,11.8,5.3,66,0,0,0,,0,0,17.3,12,57.9,1019.8,14.7,10,187.3,16.1,7,,2021-02-27T06:59:29,2021-02-27T18:16:34,0.5,Clear,Clear conditions throughout the day.,clear-day,"LGEL,16716199999,F6908,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
Athens,2021-02-28,14.8,6.5,11.5,14.8,6.5,11.5,5.2,66,0,0,0,,0,0,68.4,33.4,8.9,1023.6,46,9.9,87.9,7.5,4,,2021-02-28T06:58:06,2021-02-28T18:17:35,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,E4115,F6908,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
Athens,2021-03-01,14.8,6.3,10.5,14.8,5.2,10,3.6,63,0,0,0,,0,0,32.4,14.8,0.3,1026,47.8,10,132.7,11.4,6,,2021-03-01T06:56:42,2021-03-01T18:18:36,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
Athens,2021-03-02,12.2,6.9,9.8,12.2,5.6,8.7,1.5,57,0,0,0,,0,0,55.8,31.2,9,1029.2,57,10,115.7,9.9,5,,2021-03-02T06:55:17,2021-03-02T18:19:37,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,E4115,F6908,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
Athens,2021-03-03,16,5.8,11.3,16,5.3,10.9,0.9,50.7,0,0,0,,0,0,62.6,31.2,1.5,1027.9,27.5,10,209.9,18.2,8,,2021-03-03T06:53:51,2021-03-03T18:20:37,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
Athens,2021-03-04,17.7,6.6,11.7,17.7,5.4,11.5,2.4,54.4,0,0,0,,0,0,23.8,11.2,71.6,1023.6,8.2,10,207.8,17.9,7,,2021-03-04T06:52:25,2021-03-04T18:21:37,0.68,Clear,Clear conditions throughout the day.,clear-day,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
Athens,2021-03-05,19.9,4.7,12.1,19.9,4.7,12.1,4.1,61.8,0,0,0,,0,0,31.7,21.2,220.3,1018.4,31.8,10,202.1,17.3,7,,2021-03-05T06:50:59,2021-03-05T18:22:37,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
Athens,2021-03-06,19.2,10.1,14.4,19.2,10.1,14.4,6.7,61.4,0,0,0,,0,0,31.7,15,54.2,1019.4,34.8,10,192.3,16.4,7,,2021-03-06T06:49:32,2021-03-06T18:23:36,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,F6908,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
Athens,2021-03-07,12.9,9,11.4,12.9,7.7,11.2,5.4,66.7,0,0,0,,0,0,47,24,9.9,1022.9,69.8,10,123.9,10.6,5,,2021-03-07T06:48:04,2021-03-07T18:24:35,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
Athens,2021-03-08,16,7,11.7,16,7,11.7,6.6,71.5,0,0,0,,0,0,28.4,13.9,203.3,1017.7,68.7,10,122.4,10.6,6,,2021-03-08T06:46:36,2021-03-08T18:25:34,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
Athens,2021-03-09,16.9,9.8,13,16.9,9.4,13,7.1,68.4,0,0,0,,0,0,33.8,17.3,69.7,1014.2,45.1,10,144.8,12.5,8,,2021-03-09T06:45:07,2021-03-09T18:26:33,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
Athens,2021-03-10,19.5,7.3,13.4,19.5,7.2,13.3,5.4,60.7,0,0,0,,0,0,34.6,20.8,226.8,1011,29.7,10,203.5,17.4,7,,2021-03-10T06:43:38,2021-03-10T18:27:31,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
Athens,2021-03-11,15,7.7,10.8,15,4.7,9.4,4.5,65.4,0.218,100,8.33,rain,0,0,55.3,31.8,345.8,1013.9,69.7,10,125.6,10.9,7,,2021-03-11T06:42:09,2021-03-11T18:28:29,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
